id,text
102,"Includes mastication (chewing) and the muscular contractions of the stomach and small intestine that mash, mix, slosh, and propel food down the alimentary canal. A semiliquid mass of partially digested food that also contains gastric juices."
103,"The small intestine is divided into three structural parts: the duodenum, the jejunum, and the ileum. Once the chyme enters the duodenum (the first segment of the small intestine), the pancreas and gallbladder are stimulated and release juices that aid in digestion. The pancreas secretes up to 1.5 liters of pancreatic juice through a duct into the duodenum per day. This fluid consists mostly of water, but it also contains bicarbonate ions that neutralize the acidity of the stomach-derived chyme and enzymes that further breakdown proteins, carbohydrates, and lipids. The gallbladder secretes a much smaller amount of bile to help digest fats, also through a duct that leads to the duodenum. Bile is made in the liver and stored in the gall bladder. Bile’s components act like detergents by surrounding fats similar to the way dish soap removes grease from a frying pan. This allows for the movement of fats in the watery environment of the small intestine. Two different types of muscular contractions, called peristalsis and segmentation, move and mix the food in various stages of digestion through the small intestine. Similar to what occurs in the esophagus and stomach, peristalsis is circular waves of smooth muscle contraction that propel food forward. Segmentation sloshes food back and forth in both directions promoting further mixing of the chyme. Almost all the components of food are completely broken down to their simplest unit within the first 25 centimeters of the small intestine. Instead of proteins, carbohydrates, and lipids, the chyme now consists of amino acids, monosaccharides, and emulsified fatty acids."
104,"The process of digestion is fairly efficient. Any food that is still incompletely broken down (usually less than ten percent of food consumed) and the food’s indigestible fiber content moves from the small intestine to the large intestine (colon) through a connecting valve. The main task of the large intestine is to reabsorb water. Remember, water is present not only in solid foods, but also the stomach releases a few hundred millilters of gastric juice and the pancreas adds approximately another 500 milliliters during the digestion of the meal. For the body to conserve water, it is important that the water be reabsorbed. In the large intestine, no further chemical or mechanical breakdown of food takes place, unless it is accomplished by the bacteria that inhabit this portion of the digestive tract. The number of bacteria residing in the large intestine is estimated to be greater than 10(14), which is more than the total number of cells in the human body (10(13)). This may seem rather unpleasant, but the great majority of bacteria in the large intestine are harmless and some are even beneficial."
105,"The breakdown of complex macromolecules in foods to simple absorbable components is accomplished by the digestive system. These components are processed by cells throughout the body into energy or are used as building blocks. The digestive system is composed of the mouth, pharynx, esophagus, stomach, small intestine, large intestine (or colon), rectum, and anus. There are four steps in the digestion process: ingestion, the mechanical and chemical breakdown of food, nutrient absorption, and elimination of indigestible food. The mechanical breakdown of food occurs via muscular contractions called peristalsis and segmentation. Enzymes secreted by the salivary glands, stomach, pancreas, and small intestine accomplish the chemical breakdown of food. Additionally, bile emulsifies fats."
106,Generalize how the body distributes nutrients to the rest of the body. Summarize the importance of adequate nutrition on other organ systems.
107,"When the digestive system has broken down food to its nutrient components the body eagerly awaits delivery. The first stop of most absorbed nutrients is the liver. One of the liver’s primary functions is to regulate metabolic homeostasis. Metabolic homeostasis15 may be defined as when the nutrients consumed and absorbed matches the energy required to carry out life’s biological processes. Simply put, nutrient energy intake equals energy output. Through the body’s network of blood vessels and veins, glucose and amino acids are directly transported from the small intestine to the liver. Lipids are transported to the liver by a more circuitous route involving the lymphatic system, which contains vessels similar to the circulatory system that transport white blood cells called lymph."
108,"All eleven organ systems in the human body require nutrient input to perform their specific biological functions. No energy in means no work output. Overall health and the ability to carry out all of life’s basic processes is fueled by nutrients. Without them organ systems would fail, humans would not reproduce, and the race would disappear. In this section, we will discuss some of the critical nutrients that support specific organ system functions."
109,"Comprised of the heart, blood, and blood vessels. Its main functions are to transport nutrients to all cells and transport wastes from all cells. The circulatory system16 is one of the eleven organ systems of the human body. Its main function is to transport nutrients to cells and wastes from cells (Figure 3.6 ""The Circulatory System""). This system consists of the heart, blood, and blood vessels. The heart pumps the blood, and the blood is the transportation fluid. The transportation route to all tissues is a highly intricate blood-vessel network, comprised of arteries, veins, and capillaries. Nutrients absorbed in the small intestine travel mainly to the liver through the hepatic portal vein. From the liver, nutrients travel upward through the inferior vena cava blood vessel to the heart."
110,"Neurons form the core of the central nervous system, which Every day the brain uses over 20 percent of the energy obtained from nutrients. Its main fuel is glucose and only in extreme starvation will it use anything else. For acute mental alertness and clear thinking, glucose must be systematically delivered to your brain. This does not mean that sucking down a can of sugary soda before your next exam is a good thing. Just as too much glucose is bad for other organs, such as the kidneys and pancreas, it also produces negative effects upon the brain. Excessive glucose levels in the blood can cause a loss of cognitive function and chronically high blood- glucose levels can damage brain cells. The brain’s cognitive functions include language processing, learning, perceiving, and thinking. Recent scientific studies demonstrate that having continuously high blood-glucose levels substantially elevates the risk for"
111,"their liver and muscle tissues. It is important not to assume that carbohydrate loading works for everyone. Without accompanied endurance training you will not increase the amount of stored glucose. If you plan on running a five-mile race for fun with your friend and decide to eat a large amount of carbohydrates in the form of a big spaghetti dinner the night before, the excess carbohydrates will be stored fat. Another way for athletes to avoid “hitting the wall” is to consume carbohydrate-containing drinks and foods during an endurance event. In fact, throughout the Tour de France—a twenty-two-day, twenty-four-hundred-mile race—the average cyclist consumes greater than 60 grams of carbohydrates per hour."
112,"Organ system that is responsible for regulating nutrient intake, absorption, storage, and usage, in addition to many other things, most notably reproduction. The glands in the endocrine system are the pituitary, thyroid, parathyroid, adrenal, thymus, and pineal gland, as well as the pancreas, ovaries, and testes. Biological molecules transported in the blood that regulate cellular processes in other target tissues."
113,"The functions of the endocrine system19 are intricately connected to the body’s nutrition. This organ system is responsible for regulating appetite, nutrient absorption, nutrient storage, and nutrient usage, in addition to other functions, such as reproduction. The glands in the endocrine system are the pituitary, thyroid, parathyroid, adrenals, thymus, pineal, pancreas, ovaries, and testes. The glands secrete hormones20, which are biological molecules that regulate cellular processes in other target tissues, so they require transportation by the circulatory system. Adequate nutrition is critical for the functioning of all the glands in the endocrine system. A protein deficiency impairs gonadal-hormone release, preventing reproduction. Athletic teenage girls with very little body fat often do not menstruate. Children who are malnourished usually do not produce enough growth hormone and fail to reach normal height for their age group. Probably the most popularized connection between nutrition and the functions of the endocrine"
114,"The immune system is made up of several different types of white blood cells and other components that act as barricades to foreign invaders. The functions of the immune system are to barricade, seek, recruit, attack, and destroy foreign invaders, such as bacteria and viruses. The immune system21 is comprised of several types of white blood cells that circulate in the blood and lymph. Their jobs are to seek, recruit, attack, and destroy foreign invaders, such as bacteria and viruses. Other less realized components of  the immune system are the skin (which acts as a barricade), mucus (which traps and entangles microorganisms), and even the bacteria in the large intestine (which prevent the colonization of bad bacteria in the gut). Immune system functions are completely dependent on dietary nutrients. In fact, malnutrition is the leading cause of immune-system deficiency worldwide. When immune system functions are inadequate there is a marked increase in the chance of getting an infection. Children in many poor, developing countries have protein- and/or energy-deficient diets that are causative of two different syndromes, kwashiokors and marasmus. These children often die from infections that their bodies could normally have fought off, but because their protein and/or energy intake is so low, the immune system cannot perform its functions."
115,"Just as undernutrition compromises immune system health, so does overnutrition. People who are obese are at increased risk for developing immune system disorders such as asthma, rheumatoid arthritis, and some cancers. Both the quality and quantity of fat affect immune system function. High intakes of saturated and trans fats negatively affect the immune system, whereas increasing your intake of omega-3 fatty acids, found in salmon and other oily fish, decreases inflammatory responses. High intakes of omega-3 fatty acids are linked to a reduction in the risk of developing certain autoimmune disorders, such as rheumatoid arthritis, and are used as part of a comprehensive treatment for rheumatoid arthritis."
116,"Metabolic homeostasis occurs when the amount of nutrients consumed matches the energy required to carry out life’s biological processes. The circulatory system transports nutrients to cells and transports wastes from them. The essential minerals sodium, potassium, calcium, and chloride, and the macronutrients protein and carbohydrates, are required for central nervous system function. Fat is also critical for central nervous system function (see the Discussion Starter below)."
117,"Thermal (heat) energy. We can say that a cup of hot tea has thermal energy. Thermal energy is defined as the collective, microscopic, kinetic, and potential energy of the molecules within matter. In a cup of tea, the molecules have kinetic energy because they are moving and oscillating, but they also possess potential energy due to their shared attraction to each other. Chemical energy. In your body, blood sugar (glucose) possesses chemical energy25. When glucose reacts chemically with oxgen, energy is released from the glucose. Once the energy is released, your muscles will utilize it to produce mechanical force and heat. Electrochemical energy. In the body, electrical impulses travel to and from the brain encoded as nerve impulses. Once the brain receives an electrical impulse it causes the release of a messenger chemical"
118,"A unit of energy; equivalent to the amount of energy required to heat 1 gram of water 1 degree Celsius. A kilocalorie is the amount of heat generated by a particular macronutrient that raises the temperature of 1 kilogram of water 1 degree Celsius (this is what is denoted on the Nutrition Facts panel). Calculating the number of Calories in commercially prepared food is made fairly easy since the total number of Calories in a serving of a particular food is listed on the Nutrition Facts panel. If you wanted to know the number of Calories in the breakfast you consumed this morning just add up the number of Calories in each food. For example, if you ate one serving of yogurt that contained 150 Calories, on which you sprinkled one half of a cup of low-fat granola cereal that contained 209 Calories, and drank a glass of orange juice that contained 100 Calories, the total number of Calories you consumed at breakfast is 150 + 209 + 100 = 459 Calories. If you do not have a Nutrition Facts panel for a certain food, such as a half cup of blueberries, and want to find out the amount of Calories it contains, go to MyFood- a-pedia, a website maintained by the USDA (see Note 3.48 ""Interactive 3.2"")."
119,"Energy is vital to life and is categorized into two types—kinetic and potential. There are also different forms of energy such as thermal, chemical, and electrochemical. Calories are a measurement of a specific quantity of energy contained in foods. The number of calories contained in a commercially prepared food is listed on the Nutrition Facts panel."
120,"A persistant form of acid reflux, in which acidic contents of the stomach leak backward into the esophagus and cause irritation. Gastroesophageal reflux disease (GERD)28 is a persistent form of acid reflux that occurs more than two times per week. Acid reflux occurs when the acidic contents of the stomach leak backward into the esophagus and cause irritation. It is estimated that GERD affects 25 to 35 percent of the US population. An analysis of several studies published in the August 2005 issue of Annals of Internal Medicine concludes that GERD is much more prevalent in people who are obese.Hampel, H. MD, PhD, N. S. Abraham, MD, MSc(Epi) and H. B. El-Serag, MD, MPH. “Meta-Analysis: Obesity and the Risk for Gastroesophageal Reflux Disease and Its Complications.” Ann Intern Med 143, no. 3 (2005): 199–211. http://www.ncbi.nlm.nih.gov/pubmed/ 16061918 While the links between obesity and GERD are not completely known, they likely include that excess body fat puts pressure on the stomach, overeating increases pressure in the stomach, and fatty foods are triggers for GERD symptoms. The most common GERD symptom is heartburn, but people with GERD may also experience regurgitation (flow of the stomach’s acidic contents into the mouth), frequent coughing, and trouble swallowing. Approximately 35 percent of children born in the United States have GERD. In babies the symptoms are more difficult to distinguish from what babies do normally. The symptoms are spitting up more than"
121,"There are other causative factors of GERD that may be separate from or intertwined with obesity. The sphincter that separates the stomach’s internal contents from the esophagus often does not function properly and acidic gastric contents seep upward. Sometimes the peristaltic contractions of the esophagus are also sluggish and compromise the clearance of acidic contents. In addition to having an unbalanced, high-fat diet, some people with GERD are sensitive to particular foods—chocolate, garlic, spicy foods, fried foods, and tomato-based foods—which worsen symptoms. Drinks containing alcohol or caffeine may also worsen GERD symptoms. GERD is diagnosed most often by a history of the frequency of recurring symptoms. A more proper diagnosis can be made when a doctor inserts a small device into the lower esophagus that measures the acidity of the contents during one’s daily activities. Sometimes a doctor may use an endoscope, which is a"
122,"Irritable bowel syndrome (IBS)29 is characterized by muscle spasms in the colon that result in abdominal pain, bloating, constipation, and/or diarrhea. Interestingly, IBS produces no permanent structural damage to the large intestine as often happens to patients who have Crohn’s disease or inflammatory bowel disease. It is estimated that one in five Americans displays symptoms of IBS. The disorder is more prevalent in women than men. Two primary factors that contribute to IBS are an unbalanced diet and stress. There is no specific test to diagnose IBS, but other conditions that have similar symptoms (such as celiac disease) must be ruled out. This involves stool tests, blood tests, and having a colonoscopy (which involves the insertion of a flexible tube with a tiny camera on the end through the anus so the doctor can see the colon tissues)."
123,"A disorder characterized by muscle spasms in the colon that result in abdominal pain, bloating, constipation, and/or diarrhea. There is no permanent structural damage to the large intestine. An autoimmune disorder caused by an abnormal reaction of cells in the small intestine to a type of protein, called gluten."
124,"After eating certain kinds of food, the immune system reacts shortly thereafter producing symptoms such as digestive troubles, swollen airways, hives, or possible death. Paying attention to the way individuals react to various foods is essential in determining what foods may specifically affect a person adversely. Food allergies are one of the many ways in which different body make-ups affect nutritional concerns. Although an estimated twelve million Americans have food allergies, there are likely many more people who say they have food allergies than actually do. This is because food sensitization is different from a medically-determined food allergy. When someone has a food allergy31, the immune system mistakenly attacks a certain kind of food (usually the protein component of a food), such as peanuts, as if it were a threat and IgE antibodies are produced. Doctors sometimes test for food allergies by using skin-prick tests or blood tests to look for the presence of IgE antibodies. However, these types of tests are not always reliable as they can sometimes yield a false positive result. By far, the most valuable tests for determining a food allergy is the Double Blind Placebo Controlled Food Challenge"
125,"Unbalanced diets can cause diseases and, conversely, certain disorders and diseases can cause an inadequate intake and absorption of nutrients simulating the health consequences of an unbalanced diet. Unbalanced, high-fat diets can exacerbate the symptoms of GERD and IBS. Celiac disease and anorexia can lead to nutritional deficiencies, which compromise functioning of the organ systems and decrease health. Food allergies affect roughly twelve million Americans, with symptoms that range from mild to deadly. Proper diagnosis leads to better management of food allergies and sensitivities."
126,"Draw a flow chart that summarizes the steps of digestion that take place in each organ of the digestive system. Calculate the calories derived from protein, fats, and carbohydrates from five different foods you often eat."
127,"Summarize the organization of the human body in a flow chart. Determine how many calories you ate of a particular food yesterday and calculate the percent of calories that came from carbohydrates, protein, and fat. Watch the video on celiac disease at http://visibleproductions.com/ index.php?page=asset_detail&asset_id=vpl_0458_001 and summarize how this ailment leads to decreased nutrient absorption."
128,"Discuss how a balanced fat intake that contains “good fats” helps optimize brain function and prevent diseases such as Alzheimer’s. Estimate the total number of kilocalories that you have eaten so far today. What percentage of the kilocalories you consumed was obtained from carbohydrates, protein, and fat? Compare the percentage of calories from carbohydrates, protein, and fat that you consumed to their Acceptable Macronutrient Distribution Ranges. On your next trip to the grocery store, pretend you have a child with a peanut allergy and determine which foods you need to avoid purchasing to prevent your child from having an allergic response."
129,"A highly branched macromolecule consisting of thousands of glucose monomers held together by chemical bonds. Polysaccharides that are highly branched and cross-linked and only found in plant-based foods, with the exception of chitin (which forms the exoskeletons of some animals). Dietary fibers6 are polysaccharides that are highly branched and cross-linked. Some dietary fibers are pectin, gums, cellulose, and lignin. Humans do not produce the enzymes that can break down dietary fiber; however, bacteria in the large intestine (colon) do. Dietary fibers are very beneficial to our health. The Dietary Guidelines Advisory Committee states that there is enough scientific evidence to support that diets high in fiber reduce the risk for obesity and diabetes, which are primary risk factors for cardiovascular disease.US Department of Agriculture. “Part D. Section 5: Carbohydrates.” In Report of the DGAC on the Dietary Guidelines for Americans, 2010. Accessed September 30, 2011. http://www.cnpp.usda.gov/ Publications/DietaryGuidelines/2010/DGAC/Report/D-5-Carbohydrates.pdf. Dietary"
130,"Carbohydrates are a group of organic compounds containing a ratio of one carbon atom to two hydrogen atoms to one oxygen atom. Carbohydrates are broadly classified into two subgroups, fast-releasing and slow-releasing carbohydrates. Fast-releasing carbohydrates are sugars and they include the monosaccharides and disaccharides. Slow-releasing carbohydrates include the polysaccharides, amylose, amylopectin, glycogen, dietary fiber, and functional fiber. Glucose is the most important monosaccharide in human nutrition. Many other monosaccharides and disaccharides become glucose in the body. Fiber-rich foods are scientifically proven to reduce the risk of obesity and diabetes. Functional fibers are added to foods because they are proven to have added health benefits."
131,Enzyme secreted by the salivary glands in the mouth that breaks down carbohydrates by breaking the glycosidic bonds between monomers. A carbohydrate that is a chain of a few (between three and ten) monosaccharides.
132,"Enzyme secreted by the pancreas that breaks down carbohydrates in the small intestine by breaking the glycosidic bonds between monomers. A condition in which there is incomplete digestion of lactose. It is caused by a deficiency in the enzyme, lactase. Symptoms include diarrhea, bloating, and abdominal cramps. The chyme is gradually expelled into the upper part of the small intestine. Upon entry of the chyme into the small intestine, the pancreas releases pancreatic juice through a duct. This pancreatic juice contains the enzyme, pancreatic amylase9, which starts again the breakdown of dextrins into shorter and shorter carbohydrate chains. Additionally, enzymes are secreted by the intestinal cells that line the villi. These enzymes, known collectively as disaccharides, are sucrase, maltase, and lactase. Sucrase breaks sucrose into glucose and fructose molecules."
133,"Glucose levels in the blood are tightly controlled, as having either too much or too little glucose in the blood can have health consequences. Glucose regulates its levels in the blood via a process called negative feedback. An everyday example of negative feedback is in your oven because it contains a thermostat. When you set the temperature to cook a delicious homemade noodle casserole at 375°F the thermostat senses the temperature and sends an electrical signal to turn the elements on and heat up the oven. When the temperature reaches 375°F the thermostat senses the temperature and sends a signal to turn the element off. Similarly, your body senses blood glucose levels and maintains the glucose “temperature” in the target range. The glucose thermostat is located within the cells of the pancreas. After eating a meal containing carbohydrates glucose levels rise in the blood."
134,"A measurement of the effects of carbohydrate-containing foods on blood-glucose levels. The glycemic responses of various foods have been measured and then ranked in comparison to a reference food, usually a slice of white bread or just straight glucose, to create a numeric value called the glycemic index (GI)11. Foods that have a low GI do not raise blood-glucose levels neither as much nor as fast as foods that have a higher GI. A diet of low-GI foods has been shown in epidemiological and clinical trial studies to increase weight loss and reduce the risk of obesity, Type 2 diabetes, and cardiovascular disease.Brand-Miller, J., PhD, et al. “Dietary Glycemic Index: Health Implications.” J Am Coll Nutr 28, no. 4, supplement (2009): 446S–49S. http://www.jacn.org/content/28/4_Supplement_1/446S.long."
135,"Leave the skins on the potatoes. The skin contains fiber and adds texture to mashed potatoes. Do not use instant potatoes. Instead of canned green beans with cream of mushroom soup and fried onions for a side dish, combine butter beans and green peas for a colorful, low-GI food. Make your stuffing with whole-grain bread and add mushrooms and extra celery and onions."
136,"Carbohydrate digestion begins in the mouth with the mechanical action of chewing and the chemical action of salivary amylase. Carbohydrates are not chemically broken down in the stomach, but rather in the small intestine. Pancreatic amylase and the disaccharidases finish the chemical breakdown of digestible carbohydrates. The monosaccharides are absorbed into the bloodstream and delivered to the liver. Some of the indigestible carbohydrates are digested by bacteria in the large intestine. Glucose itself participates in regulating its levels in the blood. Not all carbohydrates have the same effect on blood-glucose levels. The glycemic response is a measurement of the effects of a carbohydrate- containing food on blood-glucose levels."
137,"Experience the taste sensations of different carbohydrates. What are some foods that satisfy your sweetness sensation? Even though fiber contains calories, albeit less than half of other carbohydrates, why do we generally discount its caloric contribution from our diets? How long a person feels full after eating a carbohydrate-rich meal depends on the type of carbohydrate consumed and what other nutrients are in the meal. Conduct an experiment and determine how long you feel full after eating a candy bar; after eating a slice of whole- grain bread; after eating an apple; and after eating a potato. Compare your results with your classmates and discuss why some of these carbohydrate foods make you feel full longer than others."
138,"The first stage of glucose breakdown; a ten-step enzymatic process that splits glucose into two three-carbon molecules and yields two molecules of ATP. There are five primary functions of carbohydrates in the human body. They are energy production, energy storage, building macromolecules, sparing protein, and assisting in lipid metabolism."
139,rely more on lipids and proteins as an energy source. Athletes can increase their glycogen reserve modestly by reducing training intensity and increasing their carbohydrate intake to between 60 and 70 percent of total calories three to five days prior to an event. People who are not hardcore training and choose to run a 5-kilometer race for fun do not need to consume a big plate of pasta prior to a race since without long-term intense training the adaptation of increased muscle glycogen will not happen.
140,"The liver, like muscle, can store glucose energy as a glycogen, but in contrast to muscle tissue it will sacrifice its stored glucose energy to other tissues in the body when blood glucose is low. Approximately one-quarter of total body glycogen content is in the liver (which is equivalent to about a four-hour supply of glucose) but this is highly dependent on activity level. The liver uses this glycogen reserve as a way to keep blood-glucose levels within a narrow range between meal times. When the liver’s glycogen supply is exhausted, glucose is made from amino acids obtained from the destruction of proteins in order to maintain metabolic homeostasis."
141,Discuss two reasons it is essential to include carbohydrates in your diet. Why is it necessary for the body to spare protein?
142,"The four primary functions of carbohydrates in the body are to provide energy, store energy, build macromolecules, and spare protein and fat for other uses. Glucose energy is stored as glycogen, with the majority of it in the muscle and liver. The liver uses its glycogen reserve as a way to keep blood-glucose levels within a narrow range between meal times. Some glucose is also used as building blocks of important macromolecules, such as RNA, DNA, and ATP. The presence of adequate glucose in the body spares the breakdown of proteins from being used to make glucose needed by the body."
143,"A metabolic disease in which cells in the pancreas are killed by an abnormal response of the immune system, causing a lack of insulin in the body. A person with Type 1 diabetes usually has a rapid onset of symptoms that include hunger, excessive thirst and urination, and rapid weight loss. Because the main function of glucose is to provide energy for the body, when insulin is no longer"
144,"A metabolic disease of insulin insufficiency; also caused by muscle, liver, and fat cells no longer responding to the insulin in the body. For Type 2 diabetics, the onset of symptoms is more gradual and less noticeable than for Type 1 diabetics. The symptoms are increased thirst and urination, unexplained weight loss, and hunger. The first stage of Type 2 diabetes is characterized by high glucose and insulin levels. This is because the insulin- secreting cells in the pancreas attempt to compensate for insulin resistance by making more insulin. In the second stage of Type 2 diabetes, the insulin-secreting cells in the pancreas become exhausted and die. At this point, Type 2 diabetics also have to be treated with insulin injections. Healthcare providers is to prevent the second stage from happening. As with Type 1 diabetes, chronically high-glucose levels cause big detriments to health over time, so another goal for patients with Type 2 diabetes is to properly manage their blood-glucose levels. The front-line approach for treating Type 2 diabetes includes eating a healthy diet and increasing physical activity."
145,"Disease Control and Prevention. “Diabetes Research and Statistics.” Accessed September 30, 2011. http://www.cdc.gov/diabetes/consumer/research.htm. In 2007 the cost of diabetes to the United States was estimated at $174 billion.Centers for Disease Control and Prevention. “CDC Statements on Diabetes Issues.” Accessed September 30, 2011. http://www.cdc.gov/diabetes/news/docs/dpp.htm. The incidence of Type 2 diabetes has more than doubled in America in the past thirty years and the rise is partly attributed to the increase in obesity in this country. Genetics, environment, nutrition, and lifestyle all play a role in determining a person’s risk for Type 2 diabetes. We learned in Chapter 1 ""Nutrition and You"" that we have the power to change some of the determinants of disease but not others. The Diabetes Prevention Trial that studied lifestyle and drug interventions in more than three thousand participants who were at high risk for Type 2 diabetes found that intensive lifestyle intervention reduced the chances of getting Type 2 diabetes by 58 percent.Knowler, W. C. et al. “Reduction in the Incidence of Type 2 Diabetes with Lifestyle Intervention or Metformin.” N Engl J Med 346, no. 6 (2002): 393–403. http://www.nejm.org/doi/full/10.1056/NEJMoa012512."
146,"A medical condition in which people have three or more risk factors for Type 2 diabetes and cardiovascular disease. Having more than one risk factor for Type 2 diabetes substantially increases a person’s chances for developing the disease. Metabolic syndrome15 refers to a medical condition in which people have three or more risk factors for Type 2 diabetes and cardiovascular disease (Figure 4.8 ""Metabolic Syndrome: A Combination of Risk Factors Increasing the Chances for Chronic Disease"")."
147,"A metabolic condition similar to Type 2 diabetes that occurs in some pregnant women. A metabolic condition in which people have moderately high glucose levels, but do not meet the criteria for diagnosis as a diabetic. As the term infers, prediabetes17 is a metabolic condition in which people have moderately high glucose levels, but do not meet the criteria for diagnosis as a diabetic. Over seventy-nine million Americans are prediabetic and at increased risk for Type 2 diabetes and cardiovascular disease.National Diabetes Information Clearing House. “Diabetes Overview.” Accessed September 30, 2011. http://diabetes.niddk.nih.gov/dm/pubs/overview/. The National Diabetes Information Clearing House reports that 35 percent of adults aged twenty and older, and 50 percent of those over the age of sixty-five have prediabetes.National Diabetes Information Clearing House. “Diabetes Overview.” Accessed September 30, 2011. http://diabetes.niddk.nih.gov/dm/pubs/overview/."
148,If you owned a grocery store what are some practices you could introduce to combat the epidemic of Type 2 diabetes in this country? What are some options for you to intervene in your lifestyle and decrease your risk for Type 2 diabetes?
149,"Diabetes is a disease of insulin deficiency and glucose oversufficiency. Like other diseases, genetics, nutrition, environment, and lifestyle are all involved in determining a person’s risk for developing diabetes. Type 1 diabetes was once a death sentence, but now can be treated with insulin injections. However, insulin injections do not cure the disease, and diabetics can suffer many disease complications. Diabetes complications can be relieved by strictly managing blood-glucose levels, adhering to a healthy diet, and increasing physical activity. The incidence of Type 2 diabetes has more than doubled in America in the past thirty years and the rise is partly attributed to the increase in obesity. The front-line approach for treating Type 2 diabetes includes eating a healthy diet and increasing physical activity. The long-term health consequences of diabetes are severe. They are the result of chronically high glucose concentrations in the blood and other metabolic abnormalities such as high blood-lipid levels."
150,"Sugars and syrups that are added to foods during processing or preparation. The Food and Nutrition Board of the Institute of Medicine (IOM) defines added sugars18 as “sugars and syrups that are added to foods during processing or preparation.” The IOM goes on to state, “Major sources of added sugars include soft drinks, sports drinks, cakes, cookies, pies, fruitades, fruit punch, dairy desserts, and"
151,"First, know the number of total calories you should eat each day. Consume an overall healthy diet and get the most nutrients for the calories, using foods high in added sugars as discretionary calories (those left over after getting all recommended nutrients subtracted from the calories used). Lower sugar intake, especially when the sugars in foods are not tied to positive nutrients such as in sugary drinks, candies, cakes, and cookies. Focus on calories in certain food categories such as beverages and confections, and encourage consumption of positive nutrients and foods such as cereals and low-fat or fat-free dairy products.Van Horn, L. et al. “Added Sugars and Health.” Research reviewed at the AHA Added Sugars Conference, 2010. Circulation 122 (2010): 2470–90. doi: 10.1161/CIR.0b013e3181ffdcb0."
152,"Oral health refers not only to healthy teeth and gums, but also to the health of all the supporting tissues in the mouth such as ligaments, nerves, jawbone, chewing muscles, and salivary glands. Over ten years ago the Surgeon General produced its first report dedicated to oral health, stating that oral health and health in general are not separate entities.Surgeon General. “National Call to Action to Promote Oral Health.” Accessed September 30, 2011. http://www.surgeongeneral.gov/library/ calls/oralhealth/nationalcalltoaction.html. Instead, oral health is an integral part of overall health and well-being. Soft drinks, sports drinks, candies, desserts, and fruit juices are the main sources of “fermentable sugars19” in the American diet. (Fermentable sugars are those that are easily metabolized by bacteria in a process known as fermentation. Glucose, fructose, and maltose are three examples.) Bacteria that inhabit the mouth metabolize fermentable sugars and starches in refined grains to acids that erode tooth enamel and deeper bone tissues. The acid creates holes (cavities) in the teeth that can be extremely painful (Figure 4.10 ""Gingivitis""). Gums are also damaged by bacteria produced by acids, leading to gingivitis (characterized by inflamed and bleeding gums). Saliva is actually a natural mouthwash that neutralizes the acids and aids in building up teeth that have been damaged."
153,"Sugars such as glucose, fructose, and maltose that are easily metabolized by bacteria in a process known as fermentation. Association says that drinking sugary soft drinks increases the risk of decay formation.American Dental Association. “Diet and Oral Health.” Accessed September 30, 2011. http://www.ada.org/2984.aspx#eatoothdecay."
154,"Since the early 1990s, marketers of low-carbohydrate diets have bombarded us with the idea that eating fewer carbohydrates promotes weight loss and that these diets are superior to others in their effects on weight loss and overall health. The most famous of these low-carbohydrate diets is the Atkin’s diet. Others include the “South Beach” diet, the “Zone” diet, and the “Earth” diet. Despite the claims these diets make, there is little scientific evidence to support that low-carbohydrate diets are significantly better than other diets in promoting long-term weight loss. A study in The Nutritional Journal concluded that all diets, (independent of carbohydrate, fat, and protein content) that incorporated an exercise regimen significantly decreased weight and waist circumference in obese women. Kerksick, C. M. et al. “Changes in Weight Loss, Body Composition, and Cardiovascular Disease Risk after Altering Macronutrient Distributions During a Regular Exercise Program in Obese Women.” J Nutr 9, no. 59 (2010). doi: 10.1186/1475-2891-9-59. Some studies do provide evidence that in comparison to other diets, low-carbohydrate diets improve insulin levels and other risk factors for Type 2 diabetes and cardiovascular disease. The overall scientific consensus is that consuming fewer calories in a balanced diet will promote health and stimulate weight loss, with significantly better results achieved when combined with regular exercise."
155,"Diets high in whole grains have repeatedly been shown to decrease weight. A large group of studies all support that consuming more than two servings of whole grains per day reduces one’s chances of getting Type 2 diabetes by 21 percent.de Munter, J. S. L. et al. “Whole Grain, Bran, and Germ Intake and Risk of Type 2 Diabetes: A Prospective Cohort Study and Systematic Review.” PLoS Medicine, no. 8 (2007): e261. doi: 10.1371/journal.med.0040261. The Nurses’ Health Study found that women who consumed two to three servings of whole grain products daily were 30 percent less likely to have a heart attack.Liu, S. et al. “Whole-Grain Consumption and Risk of Coronary Heart Disease: Results from the Nurses’ Health Study.” Am J Clin Nutr 70, no. 3 (1999): 412–19. http://www.ajcn.org/content/70/3/412.long. The AHA makes the following statements on whole grains:"
156,"“Dietary fiber from whole grains, as part of an overall healthy diet, helps reduce blood cholesterol levels and may lower risk of heart disease.” “Fiber-containing foods, such as whole grains, help provide a feeling of fullness with fewer calories and may help with weight management.”American Heart Association. “Whole Grains and Fiber.” Accessed September 30, 2011. http://www.heart.org/HEARTORG/ GettingHealthy/NutritionCenter/HealthyDietGoals/Whole-Grains-and- Fiber_UCM_303249_Article.jsp."
